1,1,0.1,0.49,0.55,0.3,3.409,-19.027,6.62
2,1,0.058,0.1,0.1,0.1,3.731,-2.043,1.025
3,1,0.16,0.1,0.1,0.5,2.562,-5.272,3.286
4,1,0.058,0.13,0.1,0.5,3.501,-2.053,1.184
5,1,0.16,0.13,0.1,0.1,3.092,-1.032,0.856
6,1,0.058,0.91,0.91,0.1,3.69,-8.881,2.016
7,1,0.058,0.91,0.91,0.5,2.833,-7.765,2.233
8,1,0.16,0.91,0.91,0.1,3.019,-20.074,6.482
9,1,0.16,0.91,0.91,0.5,2.81,-8.023,2.864
10,1,0.058,0.1,0.91,0.1,3.272,-2.069,1.124
11,2,0.16,0.88,0.31,0.12,3.257,-6.616,2.327
12,2,0.16,0.28,0.91,0.1,3.151,-2.714,0.905
13,2,0.16,0.91,0.37,0.46,2.553,-5.933,1.775
14,2,0.07,0.67,0.52,0.1,2.946,-4.058,1.07
15,2,0.16,0.61,0.91,0.1,3.438,-5.573,1.519
16,2,0.16,0.13,0.91,0.36,3.341,-4.396,2.243
17,2,0.106,0.91,0.34,0.1,3.125,-4.015,1.218
18,2,0.082,0.91,0.91,0.1,3.724,-8.487,2.241
19,2,0.16,0.1,0.79,0.12,3.306,-1.774,1.092
20,2,0.058,0.34,0.91,0.5,2.88,-3.778,1.237
21,3,0.16,0.13,0.64,0.5,3.304,-2.913,1.613
22,3,0.058,0.4,0.22,0.34,3.2,-2.4,1.12
23,3,0.082,0.91,0.88,0.32,2.816,-8.284,2.846
24,3,0.076,0.76,0.28,0.5,2.847,-2.863,1.25
25,3,0.112,0.88,0.79,0.5,2.612,-6.449,2.315
26,3,0.058,0.79,0.91,0.24,3.231,-6.696,2.039
27,3,0.106,0.1,0.19,0.32,2.393,-3.719,1.431
28,3,0.16,0.85,0.67,0.14,3.573,-33.184,7.802
29,3,0.058,0.91,0.61,0.36,3.076,-9.732,3.65
30,3,0.16,0.91,0.91,0.34,2.504,-6.067,2.617
31,4,0.13,0.91,0.4,0.3,3.553,-10.244,2.673
32,4,0.16,0.73,0.55,0.14,4.008,-12.467,3.371
33,4,0.16,0.88,0.88,0.24,3.212,-36.953,10.418
34,4,0.112,0.91,0.91,0.1,4.306,-49.031,11.955
35,4,0.112,0.91,0.55,0.2,3.478,-13.605,4.563
36,4,0.16,0.28,0.25,0.32,3.52,-8.689,4.31
37,4,0.058,0.91,0.46,0.24,2.843,-5.348,1.735
38,4,0.112,0.43,0.91,0.5,3.42,-7.184,2.976
39,4,0.16,0.34,0.91,0.3,3.466,-9.422,3.569
40,4,0.106,0.91,0.7,0.14,3.98,-38.362,9.617
41,5,0.16,0.58,0.28,0.46,3.421,-7.006,2.247
42,5,0.16,0.55,0.91,0.24,2.608,-9.227,3.464
43,5,0.07,0.61,0.91,0.1,3.757,-5.003,1.43
44,5,0.16,0.49,0.22,0.2,3.442,-6.009,2.207
45,5,0.058,0.37,0.91,0.1,3.528,-5.63,1.832
46,5,0.106,0.1,0.91,0.5,3.146,-5.177,2.669
47,5,0.154,0.31,0.22,0.1,3.282,-2.017,0.981
48,5,0.16,0.37,0.58,0.1,2.77,-3.731,1.283
49,5,0.16,0.64,0.67,0.32,3.405,-27.909,9.265
50,5,0.16,0.49,0.79,0.44,3.435,-15.056,5.327
51,6,0.16,0.43,0.52,0.38,3.88,-9.916,3.262
52,6,0.16,0.25,0.37,0.46,3.869,-4.974,2.255
53,6,0.088,0.19,0.34,0.24,4.012,-4.454,1.628
54,6,0.124,0.73,0.73,0.18,4.061,-16.737,5.147
55,6,0.076,0.52,0.52,0.1,2.966,-7.417,2.04
56,6,0.142,0.13,0.28,0.46,3.479,-4.883,2.489
57,6,0.13,0.37,0.49,0.3,3.182,-5.013,2.117
58,6,0.16,0.91,0.52,0.4,3.502,-9.029,3.038
59,6,0.058,0.13,0.31,0.16,3.415,-2.047,1.088
60,6,0.154,0.67,0.91,0.14,4.12,-9.541,2.595
61,7,0.16,0.58,0.31,0.32,3.104,-5.605,1.734
62,7,0.13,0.55,0.25,0.26,3.297,-7.66,2.634
63,7,0.118,0.43,0.88,0.1,3.699,-3.913,1.2
64,7,0.082,0.52,0.28,0.16,3.88,-4.429,1.491
