0.063,0.170,0.890,0.170
0.063,0.480,0.280,0.340
0.064,0.510,0.910,0.300
0.065,0.230,0.340,0.140
0.069,0.200,0.190,0.360
0.070,0.680,0.520,0.340
0.074,0.740,0.850,0.470
0.075,0.630,0.700,0.100
0.079,0.800,0.820,0.450
0.084,0.720,0.560,0.440
0.088,0.620,0.700,0.190
0.096,0.120,0.840,0.390
0.097,0.470,0.290,0.500
0.098,0.360,0.250,0.440
0.107,0.810,0.830,0.210
0.113,0.140,0.180,0.440
0.117,0.240,0.690,0.460
0.118,0.370,0.750,0.380
0.119,0.670,0.690,0.360
0.119,0.850,0.750,0.330
0.120,0.400,0.890,0.250
0.123,0.280,0.200,0.420
0.126,0.200,0.490,0.140
0.141,0.510,0.670,0.270
0.144,0.320,0.370,0.400
0.146,0.480,0.670,0.220
0.155,0.490,0.800,0.110
0.156,0.260,0.260,0.420
0.158,0.810,0.370,0.180
0.160,0.670,0.540,0.440
